sheet_title,breakdown,scenario,series,unit,year,value
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2027,50.44
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2028,51.04
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2029,50.63
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2030,50.97
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2031,51.57
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2032,52.44
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2033,53.4
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2034,54.29
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2035,55.19
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2036,56.04
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2037,56.75
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2038,57.24
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2039,57.96
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2040,59.46
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2041,60.42
